"activity" "subject_id" "feature" "mean_value"
"LAYING" 1 "fBodyAcc_mean_X" -0.9390990524
"LAYING" 1 "fBodyAcc_mean_Y" -0.86706520518
"LAYING" 1 "fBodyAcc_mean_Z" -0.8826668762
"LAYING" 1 "fBodyAcc_std_X" -0.9244374346
"LAYING" 1 "fBodyAcc_std_Y" -0.8336255561
"LAYING" 1 "fBodyAcc_std_Z" -0.81289155944
"LAYING" 1 "fBodyAccJerk_mean_X" -0.9570738838
"LAYING" 1 "fBodyAccJerk_mean_Y" -0.9224626098
"LAYING" 1 "fBodyAccJerk_mean_Z" -0.9480609042
"LAYING" 1 "fBodyAccJerk_std_X" -0.9641607086
"LAYING" 1 "fBodyAccJerk_std_Y" -0.9322178704
"LAYING" 1 "fBodyAccJerk_std_Z" -0.9605869872
"LAYING" 1 "fBodyAccMag_mean" -0.8617676481
"LAYING" 1 "fBodyAccMag_std" -0.7983009404
"LAYING" 1 "fBodyBodyAccJerkMag_mean" -0.9333003608
"LAYING" 1 "fBodyBodyAccJerkMag_std" -0.9218039756
"LAYING" 1 "fBodyBodyGyroJerkMag_mean" -0.9423669466
"LAYING" 1 "fBodyBodyGyroJerkMag_std" -0.9326606676
"LAYING" 1 "fBodyBodyGyroMag_mean" -0.8621901854
"LAYING" 1 "fBodyBodyGyroMag_std" -0.82431943968
"LAYING" 1 "fBodyGyro_mean_X" -0.850249174586
"LAYING" 1 "fBodyGyro_mean_Y" -0.9521914948
"LAYING" 1 "fBodyGyro_mean_Z" -0.909302721
"LAYING" 1 "fBodyGyro_std_X" -0.8822964508
"LAYING" 1 "fBodyGyro_std_Y" -0.9512320494
"LAYING" 1 "fBodyGyro_std_Z" -0.9165825082
"LAYING" 1 "tBodyAcc_mean_X" 0.22159824394
"LAYING" 1 "tBodyAcc_mean_Y" -0.0405139534294
"LAYING" 1 "tBodyAcc_mean_Z" -0.11320355358
"LAYING" 1 "tBodyAcc_std_X" -0.9280564692
"LAYING" 1 "tBodyAcc_std_Y" -0.83682740562
"LAYING" 1 "tBodyAcc_std_Z" -0.826061401628
"LAYING" 1 "tBodyAccJerk_mean_X" 0.0810865342
"LAYING" 1 "tBodyAccJerk_mean_Y" 0.0038382040088
"LAYING" 1 "tBodyAccJerk_mean_Z" 0.010834236361
"LAYING" 1 "tBodyAccJerk_std_X" -0.958482112
"LAYING" 1 "tBodyAccJerk_std_Y" -0.9241492736
"LAYING" 1 "tBodyAccJerk_std_Z" -0.9548551108
"LAYING" 1 "tBodyAccJerkMag_mean" -0.9543962646
"LAYING" 1 "tBodyAccJerkMag_std" -0.9282456284
"LAYING" 1 "tBodyAccMag_mean" -0.8419291525
"LAYING" 1 "tBodyAccMag_std" -0.79514486386
"LAYING" 1 "tBodyGyro_mean_X" -0.016553093978
"LAYING" 1 "tBodyGyro_mean_Y" -0.064486124088
"LAYING" 1 "tBodyGyro_mean_Z" 0.14868943626
"LAYING" 1 "tBodyGyro_std_X" -0.87354386782
"LAYING" 1 "tBodyGyro_std_Y" -0.9510904402
"LAYING" 1 "tBodyGyro_std_Z" -0.9082846626
"LAYING" 1 "tBodyGyroJerk_mean_X" -0.107270949192
"LAYING" 1 "tBodyGyroJerk_mean_Y" -0.04151728689
"LAYING" 1 "tBodyGyroJerk_mean_Z" -0.0740501211
"LAYING" 1 "tBodyGyroJerk_std_X" -0.9186085208
"LAYING" 1 "tBodyGyroJerk_std_Y" -0.9679072436
"LAYING" 1 "tBodyGyroJerk_std_Z" -0.9577901596
"LAYING" 1 "tBodyGyroJerkMag_mean" -0.96346103
"LAYING" 1 "tBodyGyroJerkMag_std" -0.9358409828
"LAYING" 1 "tBodyGyroMag_mean" -0.874759548
"LAYING" 1 "tBodyGyroMag_std" -0.81901016976
"LAYING" 1 "tGravityAcc_mean_X" -0.24888179828
"LAYING" 1 "tGravityAcc_mean_Y" 0.70554977346
"LAYING" 1 "tGravityAcc_mean_Z" 0.4458177198
"LAYING" 1 "tGravityAcc_std_X" -0.8968300184
"LAYING" 1 "tGravityAcc_std_Y" -0.90772000676
"LAYING" 1 "tGravityAcc_std_Z" -0.85236629022
"LAYING" 1 "tGravityAccMag_mean" -0.8419291525
"LAYING" 1 "tGravityAccMag_std" -0.79514486386
"LAYING" 2 "fBodyAcc_mean_X" -0.976725059791667
"LAYING" 2 "fBodyAcc_mean_Y" -0.979800877916667
"LAYING" 2 "fBodyAcc_mean_Z" -0.984380981875
"LAYING" 2 "fBodyAcc_std_X" -0.973246482083333
"LAYING" 2 "fBodyAcc_std_Y" -0.981025105625
"LAYING" 2 "fBodyAcc_std_Z" -0.984792185
"LAYING" 2 "fBodyAccJerk_mean_X" -0.985813630833333
"LAYING" 2 "fBodyAccJerk_mean_Y" -0.982768250416667
"LAYING" 2 "fBodyAccJerk_mean_Z" -0.986197134583333
"LAYING" 2 "fBodyAccJerk_std_X" -0.987250255833333
"LAYING" 2 "fBodyAccJerk_std_Y" -0.984987392916667
"LAYING" 2 "fBodyAccJerk_std_Z" -0.989345368541667
"LAYING" 2 "fBodyAccMag_mean" -0.975110196458333
"LAYING" 2 "fBodyAccMag_std" -0.975121387916667
"LAYING" 2 "fBodyBodyAccJerkMag_mean" -0.985374114791667
"LAYING" 2 "fBodyBodyAccJerkMag_std" -0.984568489166667
"LAYING" 2 "fBodyBodyGyroJerkMag_mean" -0.990248702291667
"LAYING" 2 "fBodyBodyGyroJerkMag_std" -0.989492660416667
"LAYING" 2 "fBodyBodyGyroMag_mean" -0.972112972708333
"LAYING" 2 "fBodyBodyGyroMag_std" -0.96109837875
"LAYING" 2 "fBodyGyro_mean_X" -0.9864311425
"LAYING" 2 "fBodyGyro_mean_Y" -0.983321635416667
"LAYING" 2 "fBodyGyro_mean_Z" -0.9626718875
"LAYING" 2 "fBodyGyro_std_X" -0.988860685833333
"LAYING" 2 "fBodyGyro_std_Y" -0.981910616458333
"LAYING" 2 "fBodyGyro_std_Z" -0.963174222291667
"LAYING" 2 "tBodyAcc_mean_X" 0.281373403958333
"LAYING" 2 "tBodyAcc_mean_Y" -0.0181587397583333
"LAYING" 2 "tBodyAcc_mean_Z" -0.107245610416667
"LAYING" 2 "tBodyAcc_std_X" -0.974059464791667
"LAYING" 2 "tBodyAcc_std_Y" -0.98027739875
"LAYING" 2 "tBodyAcc_std_Z" -0.984233296875
"LAYING" 2 "tBodyAccJerk_mean_X" 0.0825972511666667
"LAYING" 2 "tBodyAccJerk_mean_Y" 0.012254788451875
"LAYING" 2 "tBodyAccJerk_mean_Z" -0.00180264895625
"LAYING" 2 "tBodyAccJerk_std_X" -0.98587216875
"LAYING" 2 "tBodyAccJerk_std_Y" -0.98317254125
"LAYING" 2 "tBodyAccJerk_std_Z" -0.988442014375
"LAYING" 2 "tBodyAccJerkMag_mean" -0.987741696041667
"LAYING" 2 "tBodyAccJerkMag_std" -0.98551807625
"LAYING" 2 "tBodyAccMag_mean" -0.977435485208333
"LAYING" 2 "tBodyAccMag_std" -0.972873912916667
"LAYING" 2 "tBodyGyro_mean_X" -0.01847660675
"LAYING" 2 "tBodyGyro_mean_Y" -0.111800824583333
"LAYING" 2 "tBodyGyro_mean_Z" 0.144882846104167
"LAYING" 2 "tBodyGyro_std_X" -0.988275232916667
"LAYING" 2 "tBodyGyro_std_Y" -0.982291608958333
"LAYING" 2 "tBodyGyro_std_Z" -0.960306560416667
"LAYING" 2 "tBodyGyroJerk_mean_X" -0.101974134208333
"LAYING" 2 "tBodyGyroJerk_mean_Y" -0.0358590176083333
"LAYING" 2 "tBodyGyroJerk_mean_Z" -0.0701783020833333
"LAYING" 2 "tBodyGyroJerk_std_X" -0.993235849166667
"LAYING" 2 "tBodyGyroJerk_std_Y" -0.989567537916667
"LAYING" 2 "tBodyGyroJerk_std_Z" -0.98803582125
"LAYING" 2 "tBodyGyroJerkMag_mean" -0.991767074166667
"LAYING" 2 "tBodyGyroJerkMag_std" -0.989718095208333
"LAYING" 2 "tBodyGyroMag_mean" -0.950011569583333
"LAYING" 2 "tBodyGyroMag_std" -0.961164053958333
"LAYING" 2 "tGravityAcc_mean_X" -0.509754238125
"LAYING" 2 "tGravityAcc_mean_Y" 0.752536639375
"LAYING" 2 "tGravityAcc_mean_Z" 0.646834879583333
"LAYING" 2 "tGravityAcc_std_X" -0.959014441458333
"LAYING" 2 "tGravityAcc_std_Y" -0.988211865208333
"LAYING" 2 "tGravityAcc_std_Z" -0.984230418125
"LAYING" 2 "tGravityAccMag_mean" -0.977435485208333
"LAYING" 2 "tGravityAccMag_std" -0.972873912916667
"LAYING" 3 "fBodyAcc_mean_X" -0.980665609032258
"LAYING" 3 "fBodyAcc_mean_Y" -0.961169982903226
"LAYING" 3 "fBodyAcc_mean_Z" -0.968332141612903
"LAYING" 3 "fBodyAcc_std_X" -0.983691129032258
"LAYING" 3 "fBodyAcc_std_Y" -0.964094604193548
"LAYING" 3 "fBodyAcc_std_Z" -0.96327908016129
"LAYING" 3 "fBodyAccJerk_mean_X" -0.980513202258064
"LAYING" 3 "fBodyAccJerk_mean_Y" -0.968752113709677
"LAYING" 3 "fBodyAccJerk_mean_Z" -0.979122344354839
"LAYING" 3 "fBodyAccJerk_std_X" -0.983122615967742
"LAYING" 3 "fBodyAccJerk_std_Y" -0.971044012741936
"LAYING" 3 "fBodyAccJerk_std_Z" -0.983711904677419
"LAYING" 3 "fBodyAccMag_mean" -0.96552427516129
"LAYING" 3 "fBodyAccMag_std" -0.968350217419355
"LAYING" 3 "fBodyBodyAccJerkMag_mean" -0.975949597903226
"LAYING" 3 "fBodyBodyAccJerkMag_std" -0.975305377903226
"LAYING" 3 "fBodyBodyGyroJerkMag_mean" -0.984278251290323
"LAYING" 3 "fBodyBodyGyroJerkMag_std" -0.982568158064516
"LAYING" 3 "fBodyBodyGyroMag_mean" -0.96458672483871
"LAYING" 3 "fBodyBodyGyroMag_std" -0.955441855806452
"LAYING" 3 "fBodyGyro_mean_X" -0.970167262903226
"LAYING" 3 "fBodyGyro_mean_Y" -0.978099682258065
"LAYING" 3 "fBodyGyro_mean_Z" -0.962341960806452
"LAYING" 3 "fBodyGyro_std_X" -0.975986433709677
"LAYING" 3 "fBodyGyro_std_Y" -0.977032495483871
"LAYING" 3 "fBodyGyro_std_Z" -0.967256854193548
"LAYING" 3 "tBodyAcc_mean_X" 0.275516852741935
"LAYING" 3 "tBodyAcc_mean_Y" -0.0189556785048387
"LAYING" 3 "tBodyAcc_mean_Z" -0.101300477506452
"LAYING" 3 "tBodyAcc_std_X" -0.982776639193548
"LAYING" 3 "tBodyAcc_std_Y" -0.962057544516129
"LAYING" 3 "tBodyAcc_std_Z" -0.96369103483871
"LAYING" 3 "tBodyAccJerk_mean_X" 0.0769811125806452
"LAYING" 3 "tBodyAccJerk_mean_Y" 0.0138041011306452
"LAYING" 3 "tBodyAccJerk_mean_Z" -0.00435625874355645
"LAYING" 3 "tBodyAccJerk_std_X" -0.98087931483871
"LAYING" 3 "tBodyAccJerk_std_Y" -0.968710724677419
"LAYING" 3 "tBodyAccJerk_std_Z" -0.982093162903226
"LAYING" 3 "tBodyAccJerkMag_mean" -0.979484593387097
"LAYING" 3 "tBodyAccJerkMag_std" -0.976121297903226
"LAYING" 3 "tBodyAccMag_mean" -0.972791346129032
"LAYING" 3 "tBodyAccMag_std" -0.964218176451613
"LAYING" 3 "tBodyGyro_mean_X" -0.0208170540330645
"LAYING" 3 "tBodyGyro_mean_Y" -0.0718507159435484
"LAYING" 3 "tBodyGyro_mean_Z" 0.137999561112903
"LAYING" 3 "tBodyGyro_std_X" -0.974545752096774
"LAYING" 3 "tBodyGyro_std_Y" -0.977272653709677
"LAYING" 3 "tBodyGyro_std_Z" -0.963505609032258
"LAYING" 3 "tBodyGyroJerk_mean_X" -0.10004449883871
"LAYING" 3 "tBodyGyroJerk_mean_Y" -0.0389771765322581
"LAYING" 3 "tBodyGyroJerk_mean_Z" -0.06873387
"LAYING" 3 "tBodyGyroJerk_std_X" -0.980328645
"LAYING" 3 "tBodyGyroJerk_std_Y" -0.986762741935484
"LAYING" 3 "tBodyGyroJerk_std_Z" -0.983338279516129
"LAYING" 3 "tBodyGyroJerkMag_mean" -0.98671362516129
"LAYING" 3 "tBodyGyroJerkMag_std" -0.983139255645161
"LAYING" 3 "tBodyGyroMag_mean" -0.951564751451613
"LAYING" 3 "tBodyGyroMag_std" -0.954275110967742
"LAYING" 3 "tGravityAcc_mean_X" -0.241758478064516
"LAYING" 3 "tGravityAcc_mean_Y" 0.837032099677419
"LAYING" 3 "tGravityAcc_mean_Z" 0.48870318516129
"LAYING" 3 "tGravityAcc_std_X" -0.982512193064516
"LAYING" 3 "tGravityAcc_std_Y" -0.981202749677419
"LAYING" 3 "tGravityAcc_std_Z" -0.964807543870968
"LAYING" 3 "tGravityAccMag_mean" -0.972791346129032
"LAYING" 3 "tGravityAccMag_std" -0.964218176451613
"LAYING" 4 "fBodyAcc_mean_X" -0.958802077592593
"LAYING" 4 "fBodyAcc_mean_Y" -0.938883374444444
"LAYING" 4 "fBodyAcc_mean_Z" -0.967504278888889
"LAYING" 4 "fBodyAcc_std_X" -0.952464881481481
"LAYING" 4 "fBodyAcc_std_Y" -0.946380971111111
"LAYING" 4 "fBodyAcc_std_Z" -0.962154454259259
"LAYING" 4 "fBodyAccJerk_mean_X" -0.978542457407407
"LAYING" 4 "fBodyAccJerk_mean_Y" -0.943969987222222
"LAYING" 4 "fBodyAccJerk_mean_Z" -0.975383329444444
"LAYING" 4 "fBodyAccJerk_std_X" -0.980079292592593
"LAYING" 4 "fBodyAccJerk_std_Y" -0.944366881666667
"LAYING" 4 "fBodyAccJerk_std_Z" -0.980261236296296
"LAYING" 4 "fBodyAccMag_mean" -0.939389701296296
"LAYING" 4 "fBodyAccMag_std" -0.937187975962963
"LAYING" 4 "fBodyBodyAccJerkMag_mean" -0.96228712537037
"LAYING" 4 "fBodyBodyAccJerkMag_std" -0.958037119259259
"LAYING" 4 "fBodyBodyGyroJerkMag_mean" -0.983609073333333
"LAYING" 4 "fBodyBodyGyroJerkMag_std" -0.982543631666667
"LAYING" 4 "fBodyBodyGyroMag_mean" -0.961556660185185
"LAYING" 4 "fBodyBodyGyroMag_std" -0.947100325185185
"LAYING" 4 "fBodyGyro_mean_X" -0.967203736481482
"LAYING" 4 "fBodyGyro_mean_Y" -0.972187839074074
"LAYING" 4 "fBodyGyro_mean_Z" -0.961479262592593
"LAYING" 4 "fBodyGyro_std_X" -0.975094739444444
"LAYING" 4 "fBodyGyro_std_Y" -0.956182500185185
"LAYING" 4 "fBodyGyro_std_Z" -0.965807466666667
"LAYING" 4 "tBodyAcc_mean_X" 0.263559214981481
"LAYING" 4 "tBodyAcc_mean_Y" -0.0150031841055556
"LAYING" 4 "tBodyAcc_mean_Z" -0.110688150314815
"LAYING" 4 "tBodyAcc_std_X" -0.954193738888889
"LAYING" 4 "tBodyAcc_std_Y" -0.941714042407407
"LAYING" 4 "tBodyAcc_std_Z" -0.962667314814815
"LAYING" 4 "tBodyAccJerk_mean_X" 0.0934494217777778
"LAYING" 4 "tBodyAccJerk_mean_Y" 0.00693313213968519
"LAYING" 4 "tBodyAccJerk_mean_Z" -0.00641054328740741
"LAYING" 4 "tBodyAccJerk_std_X" -0.978302781111111
"LAYING" 4 "tBodyAccJerk_std_Y" -0.942209488333333
"LAYING" 4 "tBodyAccJerk_std_Z" -0.978511984259259
"LAYING" 4 "tBodyAccJerkMag_mean" -0.970095771666667
"LAYING" 4 "tBodyAccJerkMag_std" -0.960786430740741
"LAYING" 4 "tBodyAccMag_mean" -0.954557603148148
"LAYING" 4 "tBodyAccMag_std" -0.931292216611111
"LAYING" 4 "tBodyGyro_mean_X" -0.00923156347222222
"LAYING" 4 "tBodyGyro_mean_Y" -0.0930128180759259
"LAYING" 4 "tBodyGyro_mean_Z" 0.169720404092593
"LAYING" 4 "tBodyGyro_std_X" -0.973102422222222
"LAYING" 4 "tBodyGyro_std_Y" -0.961109291851852
"LAYING" 4 "tBodyGyro_std_Z" -0.962073755
"LAYING" 4 "tBodyGyroJerk_mean_X" -0.105019877685185
"LAYING" 4 "tBodyGyroJerk_mean_Y" -0.0381230432222222
"LAYING" 4 "tBodyGyroJerk_mean_Z" -0.0712156288333333
"LAYING" 4 "tBodyGyroJerk_std_X" -0.975103204259259
"LAYING" 4 "tBodyGyroJerk_std_Y" -0.986855629814815
"LAYING" 4 "tBodyGyroJerk_std_Z" -0.983965359814815
"LAYING" 4 "tBodyGyroJerkMag_mean" -0.985068502037037
"LAYING" 4 "tBodyGyroJerkMag_std" -0.982698213703704
"LAYING" 4 "tBodyGyroMag_mean" -0.930236462592593
"LAYING" 4 "tBodyGyroMag_std" -0.947031781666667
"LAYING" 4 "tGravityAcc_mean_X" -0.420664662222222
"LAYING" 4 "tGravityAcc_mean_Y" 0.915165104259259
"LAYING" 4 "tGravityAcc_mean_Z" 0.341531310555556
"LAYING" 4 "tGravityAcc_std_X" -0.921199965925926
"LAYING" 4 "tGravityAcc_std_Y" -0.969816635740741
"LAYING" 4 "tGravityAcc_std_Z" -0.976176608888889
"LAYING" 4 "tGravityAccMag_mean" -0.954557603148148
"LAYING" 4 "tGravityAccMag_std" -0.931292216611111
"LAYING" 5 "fBodyAcc_mean_X" -0.968741678461538
"LAYING" 5 "fBodyAcc_mean_Y" -0.965419520961538
"LAYING" 5 "fBodyAcc_mean_Z" -0.977007724615385
"LAYING" 5 "fBodyAcc_std_X" -0.964953893653846
"LAYING" 5 "fBodyAcc_std_Y" -0.972909186730769
"LAYING" 5 "fBodyAcc_std_Z" -0.965882191153846
"LAYING" 5 "fBodyAccJerk_mean_X" -0.982689657115385
"LAYING" 5 "fBodyAccJerk_mean_Y" -0.965328566153846
"LAYING" 5 "fBodyAccJerk_mean_Z" -0.983250309423077
"LAYING" 5 "fBodyAccJerk_std_X" -0.985625270384615
"LAYING" 5 "fBodyAccJerk_std_Y" -0.96624258
"LAYING" 5 "fBodyAccJerk_std_Z" -0.986135599038461
"LAYING" 5 "fBodyAccMag_mean" -0.962234984038462
"LAYING" 5 "fBodyAccMag_std" -0.962525369423077
"LAYING" 5 "fBodyBodyAccJerkMag_mean" -0.977356379807692
"LAYING" 5 "fBodyBodyAccJerkMag_std" -0.976381934807692
"LAYING" 5 "fBodyBodyGyroJerkMag_mean" -0.984618025769231
"LAYING" 5 "fBodyBodyGyroJerkMag_std" -0.983434493076923
"LAYING" 5 "fBodyBodyGyroMag_mean" -0.968257068846154
"LAYING" 5 "fBodyBodyGyroMag_std" -0.959263063269231
"LAYING" 5 "fBodyGyro_mean_X" -0.975797491730769
"LAYING" 5 "fBodyGyro_mean_Y" -0.978249645769231
"LAYING" 5 "fBodyGyro_mean_Z" -0.963202948461538
"LAYING" 5 "fBodyGyro_std_X" -0.980705769807692
"LAYING" 5 "fBodyGyro_std_Y" -0.977257800961538
"LAYING" 5 "fBodyGyro_std_Z" -0.963305738076923
"LAYING" 5 "tBodyAcc_mean_X" 0.278334325576923
"LAYING" 5 "tBodyAcc_mean_Y" -0.0183042123269231
"LAYING" 5 "tBodyAcc_mean_Z" -0.107937603673077
"LAYING" 5 "tBodyAcc_std_X" -0.965934509615385
"LAYING" 5 "tBodyAcc_std_Y" -0.969295613269231
